Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance
Heart attack,vomiting,breathlessness,chest_pain,
Osteoarthristis,joint_pain,neck_pain,knee_pain,swelling_joints
Typhoid,chills,vomiting,fatigue,high_fever
Pneumonia,chills,fatigue,cough,high_fever
Varicose veins,fatigue,cramps,bruising,obesity
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Heart attack,vomiting,breathlessness,sweating,chest_pain
hepatitis A,joint_pain,vomiting,dark_urine,nausea
Urinary tract infection,burning_micturition,foul_smell_of urine,continuous_feel_of_urine,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Jaundice,itching,vomiting,fatigue,weight_loss
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Bronchial Asthma,fatigue,cough,high_fever,family_history
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Varicose veins,fatigue,cramps,bruising,obesity
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Heart attack,breathlessness,sweating,chest_pain,
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Allergy,continuous_sneezing,shivering,chills,
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
hepatitis A,joint_pain,yellowish_skin,dark_urine,nausea
Drug Reaction,itching,skin_rash,burning_micturition,spotting_ urination
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Varicose veins,fatigue,cramps,bruising,obesity
Jaundice,itching,vomiting,fatigue,weight_loss
Malaria,chills,high_fever,sweating,headache
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
AIDS,patches_in_throat,high_fever,extra_marital_contacts,
Psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Malaria,chills,vomiting,high_fever,sweating
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Allergy,continuous_sneezing,shivering,chills,
Jaundice,vomiting,fatigue,weight_loss,high_fever
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Dengue,skin_rash,chills,joint_pain,vomiting
Jaundice,itching,vomiting,fatigue,weight_loss
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Varicose veins,fatigue,cramps,bruising,obesity
Gastroenteritis,vomiting,dehydration,diarrhoea,
Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine
Heart attack,vomiting,sweating,chest_pain,
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Heart attack,vomiting,breathlessness,sweating,chest_pain
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Acne,skin_rash,pus_filled_pimples,blackheads,
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Acne,skin_rash,pus_filled_pimples,scurring,
Heart attack,vomiting,sweating,chest_pain,
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Arthritis,muscle_weakness,stiff_neck,movement_stiffness,painful_walking
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Common Cold,continuous_sneezing,chills,fatigue,cough
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Chicken pox,itching,skin_rash,fatigue,lethargy
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite
Common Cold,continuous_sneezing,chills,fatigue,cough
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Pneumonia,chills,fatigue,cough,high_fever
Typhoid,chills,vomiting,fatigue,high_fever
Osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Malaria,chills,vomiting,high_fever,sweating
GERD,acidity,ulcers_on_tongue,vomiting,cough
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Dengue,skin_rash,chills,joint_pain,vomiting
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin
Fungal infection,itching,skin_rash,dischromic _patches,
Heart attack,vomiting,breathlessness,sweating,chest_pain
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Acne,skin_rash,pus_filled_pimples,blackheads,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Pneumonia,chills,cough,high_fever,breathlessness
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Common Cold,continuous_sneezing,chills,fatigue,cough
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy
Hypoglycemia,vomiting,fatigue,sweating,headache
Heart attack,vomiting,breathlessness,sweating,chest_pain
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Varicose veins,fatigue,cramps,bruising,obesity
Common Cold,continuous_sneezing,fatigue,cough,high_fever
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Acne,skin_rash,blackheads,scurring,
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Heart attack,vomiting,breathlessness,sweating,chest_pain
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hypoglycemia,vomiting,fatigue,anxiety,headache
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Pneumonia,chills,fatigue,cough,high_fever
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Dengue,skin_rash,chills,joint_pain,vomiting
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Bronchial Asthma,cough,high_fever,breathlessness,family_history
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Varicose veins,cramps,bruising,obesity,swollen_legs
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_ urination
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hepatitis E,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Malaria,chills,vomiting,high_fever,sweating
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Common Cold,continuous_sneezing,chills,fatigue,cough
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Pneumonia,chills,fatigue,cough,high_fever
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Diabetes ,fatigue,weight_loss,restlessness,lethargy
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Diabetes ,fatigue,weight_loss,restlessness,lethargy
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Common Cold,continuous_sneezing,chills,fatigue,cough
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Acne,skin_rash,pus_filled_pimples,blackheads,
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
GERD,stomach_pain,acidity,vomiting,cough
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,
Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin
Tuberculosis,chills,vomiting,fatigue,weight_loss
Osteoarthristis,joint_pain,neck_pain,hip_joint_pain,swelling_joints
Common Cold,continuous_sneezing,chills,fatigue,cough
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Common Cold,continuous_sneezing,fatigue,cough,high_fever
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Osteoarthristis,joint_pain,neck_pain,hip_joint_pain,swelling_joints
Chicken pox,itching,skin_rash,fatigue,lethargy
Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite
Typhoid,chills,vomiting,fatigue,high_fever
Varicose veins,fatigue,cramps,bruising,obesity
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Typhoid,chills,vomiting,fatigue,high_fever
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
GERD,stomach_pain,acidity,vomiting,cough
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Varicose veins,fatigue,cramps,bruising,obesity
Dengue,skin_rash,chills,joint_pain,vomiting
Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine
Jaundice,itching,fatigue,weight_loss,high_fever
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Varicose veins,fatigue,cramps,obesity,swollen_legs
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Tuberculosis,chills,vomiting,fatigue,cough
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hypertension ,headache,chest_pain,dizziness,lack_of_concentration
Chicken pox,itching,skin_rash,fatigue,lethargy
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating
Tuberculosis,chills,vomiting,fatigue,weight_loss
Common Cold,continuous_sneezing,chills,fatigue,cough
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Heart attack,vomiting,breathlessness,sweating,chest_pain
Chicken pox,itching,skin_rash,fatigue,lethargy
Dengue,skin_rash,chills,joint_pain,vomiting
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Jaundice,itching,vomiting,fatigue,weight_loss
GERD,acidity,ulcers_on_tongue,vomiting,cough
Pneumonia,chills,fatigue,cough,high_fever
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Dengue,skin_rash,chills,joint_pain,vomiting
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hepatitis C,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
Fungal infection,itching,skin_rash,dischromic _patches,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Varicose veins,fatigue,cramps,bruising,obesity
Psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails
Bronchial Asthma,fatigue,cough,high_fever,family_history
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Malaria,chills,high_fever,sweating,headache
Diabetes ,fatigue,weight_loss,lethargy,irregular_sugar_level
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Varicose veins,fatigue,bruising,obesity,swollen_legs
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Chicken pox,itching,skin_rash,fatigue,high_fever
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Dengue,skin_rash,chills,joint_pain,vomiting
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Tuberculosis,chills,vomiting,fatigue,weight_loss
Typhoid,chills,vomiting,fatigue,high_fever
Hypoglycemia,vomiting,fatigue,sweating,headache
Bronchial Asthma,fatigue,cough,high_fever,family_history
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Malaria,chills,vomiting,high_fever,sweating
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hypoglycemia,vomiting,fatigue,anxiety,headache
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Chicken pox,itching,skin_rash,fatigue,lethargy
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hyperthyroidism,mood_swings,weight_loss,restlessness,sweating
Hypoglycemia,vomiting,fatigue,anxiety,headache
Jaundice,itching,vomiting,fatigue,weight_loss
Varicose veins,fatigue,cramps,bruising,obesity
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Pneumonia,chills,fatigue,cough,high_fever
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Jaundice,itching,fatigue,weight_loss,high_fever
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Varicose veins,fatigue,cramps,bruising,obesity
Dengue,skin_rash,chills,joint_pain,vomiting
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Jaundice,itching,vomiting,fatigue,weight_loss
Varicose veins,fatigue,cramps,bruising,obesity
Psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,
